data_pregao;preco_abertura;preco_max;preco_minimo;preco_fechamento;Fechamento;volume_negocios;;
04/10/2022;32900002;32980000;31070000;31370001;31370001;115917200;;
05/10/2022;31410000;32820000;31200001;32549999;32549999;92893700;;
06/10/2022;33000000;33790001;32439999;33660000;33660000;82671900;;
07/10/2022;33580002;34320000;33220001;33630001;33630001;73500100;;
10/10/2022;33650002;33889999;33000000;33250000;33250000;52222600;;
11/10/2022;32889999;33330002;32610001;33000000;33000000;58332400;;
13/10/2022;32500000;34490002;32410000;33939999;33939999;91143900;;
14/10/2022;33970001;34139999;33299999;33419998;33419998;62246100;;
17/10/2022;33240002;34150002;32840000;33389999;33389999;100936400;;
18/10/2022;33900002;34230000;33160000;34209999;34209999;82313200;;
19/10/2022;34130001;35560001;34020000;35419998;35419998;113700900;;
20/10/2022;36099998;36549999;35770000;36470001;36470001;114347400;;
21/10/2022;36450001;38389999;36389999;37720001;37720001;139601400;;
